id,tanggal,dod,crate,ramprate,maxbss
425,18/07/2024,30.37,0.2,20,600
427,19/07/2024,24.86,0.2,20,352
428,20/07/2024,21.82,0.2,20,600
429,21/07/2024,23.32,0.2,20,600
430,22/07/2024,32.98,0.2,20,600
431,23/07/2024,38.95,0.2,20,600
432,24/07/2024,23.52,0.2,20,505
433,25/07/2024,34.64,0.2,20,600
434,26/07/2024,35.47,0.2,20,600
435,27/07/2024,30.31,0.2,20,600
436,28/07/2024,29.62,0.2,20,600
437,29/07/2024,24.23,0.2,20,600
438,30/07/2024,22.67,0.2,20,600
439,31/07/2024,27.42,0.2,20,600
440,01/08/2024,37.08,0.2,20,600
441,02/08/2024,37.21,0.2,20,600
442,03/08/2024,25.42,0.2,20,600
443,04/08/2024,30.71,0.2,20,600
444,05/08/2024,23.7,0.2,20,600
445,06/08/2024,34.69,0.2,20,600
446,07/08/2024,21.29,0.2,20,600
448,08/08/2024,35.2,0.2,20,525
449,09/08/2024,36.59,0.2,20,538
450,10/08/2024,35.18,0.2,20,600
451,11/08/2024,29.73,0.2,20,600
452,12/08/2024,23.24,0.2,20,600
453,13/08/2024,32.27,0.2,20,600
454,14/08/2024,26.42,0.2,20,388
455,15/08/2024,29.66,0.2,20,366
456,16/08/2024,25.15,0.2,20,600
457,17/08/2024,29.25,0.2,20,586
458,18/08/2024,24.01,0.2,20,491
459,19/08/2024,35.74,0.2,20,521
460,20/08/2024,27.16,0.2,20,600
461,21/08/2024,37.07,0.2,20,600
464,22/08/2024,23.15,0.2,20,600
465,23/08/2024,33.46,0.2,20,600
466,24/08/2024,29.22,0.2,20,600
467,25/08/2024,36.73,0.2,20,551
468,26/08/2024,37.2,0.2,20,600
469,27/08/2024,23.69,0.2,20,600
470,28/08/2024,34.31,0.2,20,600
473,29/08/2024,37.25,0.2,20,600
474,30/08/2024,39.86,0.2,20,365
475,31/08/2024,37.72,0.2,20,516
476,01/09/2024,25.34,0.2,20,222
477,02/09/2024,22.78,0.2,20,531
478,03/09/2024,26.48,0.2,20,600
479,04/09/2024,37.54,0.2,20,600
480,05/09/2024,36.08,0.2,20,600
481,06/09/2024,35.77,0.2,20,600
482,07/09/2024,39.34,0.2,20,600
483,08/09/2024,33.25,0.2,20,600
485,09/09/2024,34.44,0.2,20,540
486,10/09/2024,32.49,0.2,20,600
487,11/09/2024,20.04,0.2,20,415
488,12/09/2024,21.33,0.2,20,289
489,13/09/2024,38.39,0.2,20,289
490,14/09/2024,30.06,0.2,20,600
491,15/09/2024,20.89,0.2,20,600
492,16/09/2024,35.5,0.2,20,600
493,17/09/2024,38.3,0.2,20,600
497,18/09/2024,22.78,0.2,20,600
498,19/09/2024,29.05,0.2,20,600
499,20/09/2024,32.95,0.2,20,600
500,21/09/2024,26.36,0.2,20,580
501,22/09/2024,30.21,0.2,20,600
502,23/09/2024,31.24,0.2,20,600
503,24/09/2024,29.29,0.2,20,600
504,25/09/2024,23.12,0.2,20,600
505,26/09/2024,27.86,0.2,20,600
506,27/09/2024,39.73,0.2,20,600
507,28/09/2024,36.13,0.2,20,594
508,29/09/2024,33.53,0.2,20,600
509,30/09/2024,21.33,0.2,20,600
510,01/10/2024,37.5,0.2,20,600
511,02/10/2024,25.53,0.2,20,585
512,03/10/2024,22.41,0.2,20,600
514,04/10/2024,24.55,0.2,20,600
515,05/10/2024,39.16,0.2,20,600
516,06/10/2024,20.41,0.2,20,600
517,07/10/2024,28.73,0.2,20,600
518,08/10/2024,23.81,0.2,20,600
519,09/10/2024,28.56,0.2,20,600
523,10/10/2024,25.18,0.2,20,600
524,11/10/2024,32.32,0.2,20,600
525,12/10/2024,37.51,0.2,20,600
526,13/10/2024,30.49,0.2,20,596
527,14/10/2024,27.58,0.2,20,600
,15/10/2024,31,0.2,20,600
